stbr;WR;0x0000;U16;60;1;1
abr;WR;0x0001;U16;60;1;1
setbr;WR;0x0002;U16;60;1;1
verbr;R;0x0003;U16;60;1;1
wbr;R;0x0004;U16;60;1;1
v1br;R;0x0005;U16;60;1;1
v2br;R;0x0006;U16;60;1;1
v3br;R;0x0007;U16;60;1;1
i1br;R;0x0008;U16;60;1;1
i2br;R;0x0009;U16;60;1;1
i3br;R;0x000A;U16;60;1;1
pbr;R;0x000B;U16;60;1;1
p1br;R;0x000C;U16;60;1;1
p2br;R;0x000D;U16;60;1;1
p3br;R;0x000E;U16;60;1;1
prbr;R;0x000F;U16;60;1;1
pr1br;R;0x0010;U16;60;1;1
pr2br;R;0x0011;U16;60;1;1
pr3br;R;0x0012;U16;60;1;1
tbr;R;0x0013;I16;60;1;1
edirbr;R;0x0014;U16;60;1;1
ebybr;R;0x0015;U32;60;1;1
eslbr;R;0x0017;U32;60;1;1
